,name,real_life_value_usd,fifa_value_usd,national_team,position,sub_position,strong_foot,fifa_rating,highest_possible_fifa_rating,age,dob,club_name,league_name
0,Kylian Mbappe,190080000,213400000,France,Attack,Centre-Forward,Right,91,95,22,12/20/1998,Paris Saint-Germain,French Ligue 1
1,Erling Haaland,178200000,151250000,Norway,Attack,Centre-Forward,Left,88,93,20,7/21/2000,Borussia Dortmund,German 1. Bundesliga
2,Mohamed Salah,118800000,111100000,Egypt,Attack,Right Winger,Left,89,89,29,6/15/1992,Liverpool,English Premier League
3,Romelu Lukaku,118800000,102850000,Belgium,Attack,Centre-Forward,Left,88,88,28,5/13/1993,Chelsea,English Premier League
4,Harry Kane,118800000,142450000,England,Attack,Centre-Forward,Right,90,90,27,7/28/1993,Tottenham Hotspur,English Premier League
5,Vinicius Junior,118800000,51150000,Brazil,Attack,Left Winger,Right,80,90,20,7/12/2000,Real Madrid CF,Spain Primera Division
6,Neymar,106920000,141900000,Brazil,Attack,Left Winger,Right,91,91,29,2/5/1992,Paris Saint-Germain,French Ligue 1
7,Bruno Fernandes,106920000,118250000,Portugal,Midfield,Attacking Midfield,Right,88,89,26,9/8/1994,Manchester United,English Premier League
8,Kevin De Bruyne,106920000,138050000,Belgium,Midfield,Attacking Midfield,Right,91,91,30,6/28/1991,Manchester City,English Premier League
9,Marcus Rashford,100980000,85250000,England,Attack,Left Winger,Right,85,89,23,10/31/1997,Manchester United,English Premier League
10,Phil Foden,100980000,103950000,England,Midfield,Central Midfield,Left,84,92,21,5/28/2000,Manchester City,English Premier League
11,Raheem Sterling,100980000,118250000,England,Attack,Left Winger,Right,88,89,26,12/8/1994,Manchester City,English Premier League
12,Dusan Vlahovic,100980000,31900000,Serbia,Attack,Centre-Forward,Left,78,85,21,1/28/2000,Fiorentina,Italian Serie A
13,Jadon Sancho,100980000,128150000,England,Attack,Left Winger,Right,87,91,21,3/25/2000,Manchester United,English Premier League
14,Joshua Kimmich,100980000,118800000,Germany,Midfield,Defensive Midfield,Right,89,90,26,2/8/1995,FC Bayern München,German 1. Bundesliga
15,Heung Min Son,95040000,114400000,"Korea, South",Attack,Left Winger,Both,89,89,28,7/8/1992,Tottenham Hotspur,English Premier League
16,Trent Alexander Arnold,95040000,125400000,England,Defender,Right-Back,Right,87,92,22,10/7/1998,Liverpool,English Premier League
17,Pedri,95040000,59400000,Spain,Midfield,Central Midfield,Right,81,91,18,11/25/2002,FC Barcelona,Spain Primera Division
18,Sadio Mane,95040000,111100000,Senegal,Attack,Left Winger,Right,89,89,29,4/10/1992,Liverpool,English Premier League
19,Jack Grealish,95040000,55550000,England,Attack,Left Winger,Right,84,85,25,9/10/1995,Manchester City,English Premier League
20,Ruben Dias,89100000,112750000,Portugal,Defender,Centre-Back,Right,87,91,24,5/14/1997,Manchester City,English Premier League
21,Bernardo Silva,89100000,88000000,Portugal,Midfield,Attacking Midfield,Left,86,87,26,8/10/1994,Manchester City,English Premier League
22,Jude Bellingham,89100000,40700000,England,Midfield,Central Midfield,Right,79,89,18,6/29/2003,Borussia Dortmund,German 1. Bundesliga
23,Declan Rice,89100000,47300000,England,Midfield,Defensive Midfield,Right,82,87,22,1/14/1999,West Ham United,English Premier League
24,Marquinhos,89100000,99550000,Brazil,Defender,Centre-Back,Right,87,90,27,5/14/1994,Paris Saint-Germain,French Ligue 1
25,Mason Mount,89100000,64350000,England,Midfield,Attacking Midfield,Right,83,89,22,1/10/1999,Chelsea,English Premier League
26,Mikel Oyarzabal,83160000,85250000,Spain,Attack,Left Winger,Left,85,89,24,4/21/1997,Real Sociedad,Spain Primera Division
27,Matthijs De Ligt,83160000,82500000,Netherlands,Defender,Centre-Back,Right,85,90,21,8/12/1999,Juventus,Italian Serie A
28,Rodri,83160000,89100000,Spain,Midfield,Defensive Midfield,Right,86,89,25,6/22/1996,Manchester City,English Premier League
29,Florian Wirtz,83160000,32450000,Germany,Midfield,Attacking Midfield,Right,78,89,18,5/3/2003,Bayer 04 Leverkusen,German 1. Bundesliga
30,Leroy Sane,83160000,61600000,Germany,Attack,Left Winger,Left,84,87,25,1/11/1996,FC Bayern München,German 1. Bundesliga
31,Serge Gnabry,83160000,70950000,Germany,Attack,Right Winger,Right,85,86,25,7/14/1995,FC Bayern München,German 1. Bundesliga
32,Kai Havertz,83160000,103950000,Germany,Midfield,Attacking Midfield,Left,84,92,22,6/11/1999,Chelsea,English Premier League
33,Nicolo Barella,83160000,69850000,Italy,Midfield,Central Midfield,Right,84,89,24,2/7/1997,Inter,Italian Serie A
34,Leon Goretzka,83160000,102300000,Germany,Midfield,Central Midfield,Right,87,88,26,2/6/1995,FC Bayern München,German 1. Bundesliga
35,Achraf Hakimi,83160000,76450000,Morocco,Defender,Right-Back,Right,85,88,22,11/4/1998,Paris Saint-Germain,French Ligue 1
36,Alphonso Davies,83160000,62700000,Canada,Defender,Left-Back,Left,82,89,20,11/2/2000,FC Bayern München,German 1. Bundesliga
37,Frenkie De Jong,83160000,131450000,Netherlands,Midfield,Central Midfield,Right,87,92,24,5/12/1997,FC Barcelona,Spain Primera Division
38,Federico Chiesa,83160000,88550000,Italy,Attack,Right Winger,Right,83,91,23,10/25/1997,Juventus,Italian Serie A
39,Lautaro Martinez,83160000,85800000,Argentina,Attack,Centre-Forward,Right,85,89,23,8/22/1997,Inter,Italian Serie A
40,Federico Valverde,77220000,63800000,Uruguay,Midfield,Central Midfield,Right,83,89,22,7/22/1998,Real Madrid CF,Spain Primera Division
41,Andrew Robertson,77220000,91850000,Scotland,Defender,Left-Back,Left,87,88,27,3/11/1994,Liverpool,English Premier League
42,Gianluigi Donnarumma,77220000,131450000,Italy,Goalkeeper,Goalkeeper,Right,89,93,22,2/25/1999,Paris Saint-Germain,French Ligue 1
43,Bukayo Saka,77220000,50050000,England,Midfield,Right Midfield,Left,80,88,19,9/5/2001,Arsenal,English Premier League
44,Thibaut Courtois,77220000,94050000,Belgium,Goalkeeper,Goalkeeper,Left,89,91,29,5/11/1992,Real Madrid CF,Spain Primera Division
45,Milan Skriniar,77220000,81400000,Slovakia,Defender,Centre-Back,Right,86,88,26,2/11/1995,Inter,Italian Serie A
46,Raphael Varane,77220000,75350000,France,Defender,Centre-Back,Right,86,88,28,4/25/1993,Manchester United,English Premier League
47,Diogo Jota,71280000,50600000,Portugal,Attack,Centre-Forward,Right,82,87,24,12/4/1996,Liverpool,English Premier League
48,Lionel Messi,71280000,85800000,Argentina,Attack,Right Winger,Left,93,93,34,6/24/1987,Paris Saint-Germain,French Ligue 1
49,Alessandro Bastoni,71280000,48950000,Italy,Defender,Centre-Back,Left,80,89,22,4/13/1999,Inter,Italian Serie A
50,Joao Cancelo,71280000,78650000,Portugal,Defender,Right-Back,Right,86,87,27,5/27/1994,Manchester City,English Premier League
51,Alisson,71280000,90200000,Brazil,Goalkeeper,Goalkeeper,Right,89,90,28,10/2/1992,Liverpool,English Premier League
52,Gabriel Jesus,71280000,57750000,Brazil,Attack,Centre-Forward,Right,83,87,24,4/3/1997,Manchester City,English Premier League
53,Casemiro,71280000,96800000,Brazil,Midfield,Defensive Midfield,Right,89,89,29,2/23/1992,Real Madrid CF,Spain Primera Division
54,Eder Militao,71280000,62150000,Brazil,Defender,Centre-Back,Right,82,89,23,1/18/1998,Real Madrid CF,Spain Primera Division
